scope,subject,gate,gate_pass,status,reason_code,detail,provisional,affects_statistical,statistical_verdict,final_verdict,shadow_candidate,shadow_start_allowed
structure/legal_deadline,B3_dual_target|q=q1000|target=1000|window=2021-2023|model=M1,stability,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline,B3_dual_target|q=q1000|target=1000|window=2021-2023|model=M1,state_coverage,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline,B3_dual_target|q=q500|target=500|window=2015-2017|model=M1,state_coverage,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline,B3_dual_target|q=q500|target=500|window=2018-2020|model=M1,state_coverage,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline,B3_dual_target|q=q500|target=500|window=2021-2023|model=M1,m1_increment,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline,B3_dual_target|q=q500|target=500|window=2021-2023|model=M1,partial_ic,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline,B3_dual_target|q=q500|target=500|window=2021-2023|model=M1,stability,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline,B3_dual_target|q=q500|target=500|window=2021-2023|model=M1,state_coverage,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline,B3_unified|q=-|target=-|window=2021-2023|model=-,m1_increment,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline,B3_unified|q=-|target=-|window=2021-2023|model=-,partial_ic,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline,B3_unified|q=-|target=-|window=2021-2023|model=-,stability,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline,B3_unified|q=-|target=-|window=2021-2023|model=-,state_coverage,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline,B3_unified|q=qblend|target=blend|window=2015-2017|model=M1,state_coverage,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline,B3_unified|q=qblend|target=blend|window=2018-2020|model=M1,state_coverage,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline,B3_unified|q=qblend|target=blend|window=2021-2023|model=M1,m1_increment,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline,B3_unified|q=qblend|target=blend|window=2021-2023|model=M1,partial_ic,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline,B3_unified|q=qblend|target=blend|window=2021-2023|model=M1,stability,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline,B3_unified|q=qblend|target=blend|window=2021-2023|model=M1,state_coverage,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline,PUBLIC|q=-|target=-|window=2021-2023|model=-,interaction_axis_corr,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline,PUBLIC|q=-|target=-|window=structure|model=-,beta_h_same_sign,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline,PUBLIC|q=-|target=-|window=structure|model=-,hard_sort_complete,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_dual_target|q=-|target=-|window=2021-2023|model=-,m1_increment,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_dual_target|q=-|target=-|window=2021-2023|model=-,partial_ic,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_dual_target|q=-|target=-|window=2021-2023|model=-,stability,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_dual_target|q=-|target=-|window=2021-2023|model=-,state_coverage,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_dual_target|q=q1000|target=1000|window=2015-2017|model=M1,state_coverage,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_dual_target|q=q1000|target=1000|window=2018-2020|model=M1,state_coverage,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_dual_target|q=q1000|target=1000|window=2021-2023|model=M1,m1_increment,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_dual_target|q=q1000|target=1000|window=2021-2023|model=M1,partial_ic,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_dual_target|q=q1000|target=1000|window=2021-2023|model=M1,stability,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_dual_target|q=q1000|target=1000|window=2021-2023|model=M1,state_coverage,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_dual_target|q=q500|target=500|window=2015-2017|model=M1,state_coverage,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_dual_target|q=q500|target=500|window=2018-2020|model=M1,state_coverage,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_dual_target|q=q500|target=500|window=2021-2023|model=M1,m1_increment,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_dual_target|q=q500|target=500|window=2021-2023|model=M1,partial_ic,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_dual_target|q=q500|target=500|window=2021-2023|model=M1,stability,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_dual_target|q=q500|target=500|window=2021-2023|model=M1,state_coverage,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_unified|q=-|target=-|window=2021-2023|model=-,m1_increment,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_unified|q=-|target=-|window=2021-2023|model=-,partial_ic,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_unified|q=-|target=-|window=2021-2023|model=-,stability,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_unified|q=-|target=-|window=2021-2023|model=-,state_coverage,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_unified|q=qblend|target=blend|window=2015-2017|model=M1,state_coverage,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_unified|q=qblend|target=blend|window=2018-2020|model=M1,state_coverage,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_unified|q=qblend|target=blend|window=2021-2023|model=M1,m1_increment,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_unified|q=qblend|target=blend|window=2021-2023|model=M1,partial_ic,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_unified|q=qblend|target=blend|window=2021-2023|model=M1,stability,False,FAIL,STRUCTURE_GATE_FAILED,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,B3_unified|q=qblend|target=blend|window=2021-2023|model=M1,state_coverage,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,PUBLIC|q=-|target=-|window=2021-2023|model=-,interaction_axis_corr,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,PUBLIC|q=-|target=-|window=structure|model=-,beta_h_same_sign,True,PASS,,model comparison structure gate,False,True,,,False,False
structure/legal_deadline_plus_one_month_end,PUBLIC|q=-|target=-|window=structure|model=-,hard_sort_complete,True,PASS,,model comparison structure gate,False,True,,,False,False
