id,status_before,outcome_before,triage,review_scope,claim_before,evidence
yearly-concentration,research_only,descriptive,no_positive_final_verdict,registry screened; no numerical reanalysis,作为常规稳健性诊断保留，不单独决定GO/STOP。,backtest/output/yearly_concentration.csv
basis-c1-retest,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,2026-09-09关闭：修复carry bug后同规格重跑，C1 IC −0.068、p 0.605（旧0.090是bug伪影），无复检必要。原记录：数据阻塞已于2026-09-03解除（futures_daily自2026-04-30起由market-monitor exchange_daily按交易所数据日更，85个交易日IC/IM各4合约全带oi），但新增样本仅84个交易日（k=10网格约+8观测），功效与07-09几乎相同，不构成复检；当前仅记录等待样本，不形成有效性裁决。,backtest/output/long_axes_probe_verdicts.csv
adaptive-bucket,research_only,descriptive,no_positive_final_verdict,registry screened; no numerical reanalysis,保留为研究观察，不形成正式verdict或生产候选。,backtest/output/runs/20260821T000000-legacy-pre-p0-2c17b32/outputs/adaptive_bucket_compare_report.csv
mixed-ensemble,research_only,descriptive,no_positive_final_verdict,registry screened; no numerical reanalysis,保留为研究观察，不形成正式verdict或生产候选。,backtest/output/runs/20260821T000000-legacy-pre-p0-2c17b32/outputs/mixed_ensemble_probe_report.csv
rotation-target,research_only,descriptive,no_positive_final_verdict,registry screened; no numerical reanalysis,保留为研究观察，不形成正式verdict或生产候选。,backtest/output/runs/20260821T000000-legacy-pre-p0-2c17b32/outputs/rotation_target_probe.csv
signal-generator-ewma-std,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,该固定配置停止推进，并降低线性滤波再参数化优先级。,docs/plans/2026-08-26-signal-generator-prescreens/ewma_output.txt
signal-generator-cusum-hamilton,closed,descriptive,no_positive_final_verdict,registry screened; no numerical reanalysis,原预筛仅描述性；09-14对equal_weight固定规格补收益检验后仍未形成替换依据，继续不推进生产。,docs/plans/2026-08-26-signal-generator-prescreens/cusum_hmm_output.txt
signal-generator-smoothing,closed,descriptive,no_positive_final_verdict,registry screened; no numerical reanalysis,原预筛仅描述性；09-14对equal_weight固定规格补收益检验后仍未形成替换依据，继续不推进生产。,docs/plans/2026-08-26-signal-generator-prescreens/dema_output.txt
b1-style-replication,closed,pass,replication_acceptance,deployment or foundation source checked,复现目标完成，为后续结构研究提供底座。,backtest/output/pure_style_eval.csv
b2-industry-neutral,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,测量分解完成，但切换生产主信号未过闸。,backtest/output/underlying_probe.csv
b3-continuous-style-state,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,干净最终verdict=STOP：四路STRUCTURE_GATE_FAILED（stability在q500/qblend余弦为负、q1000秩相关0.30<0.50；sharpe_improvement四路全败，2021-2023 Sharpe 0.84~0.90 vs基线1.00需+0.10），与r4/08-12的统计结论一致，数据修复只洗掉了blocker。,data_fixes/2026-09-02-b3-true-disclosure-formal-r5/core/backtest/verdicts.csv | data_fixes/2026-09-02-b3-true-disclosure-formal-r5/core/backtest/run_manifest.json | data_fixes/2026-09-02-b3-true-disclosure-formal/core/backtest/verdicts.csv
overnight-intraday-decomposition,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,6点全STOP：隔夜段几乎无择时信息（val窗配对IC差−0.39/−0.44，CI不含0），日内段与现任相关0.91为近克隆，收益层小幅改善（LF worst +0.07）不过⓪闸也不到+0.10门槛；citic40d对象上分解维度关闭；equal_weight对象data_blocked待真实开盘价（2026-09-09复审：原句「第六次确认、变换器族封轴」跨对象计数且所引「生成数学线」自陈非实证关帐，已改）。,backtest/output/overnight_probe/gates.csv | backtest/output/overnight_probe/verdict.json | data_fixes/2026-09-02-index-daily-ohl-backfill/README.md
index-option-implied-vol,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,五族STOP。O2隐波20d变化过探针三关（IC −0.358 p0.032，偏IC p0.023，净Sharpe 0.52）但效应仅在k=40、按年翻转、收益52%集中5日；候选⓪校正后代表p=0.25、网格最大p_selected 0.044/min-P 0.23，无法与80格选择效应区分；生产信号对公开信息面覆盖度第八次确认。,backtest/output/option_axis_probe_verdicts.csv | backtest/output/option_axis_selection.json
analyst-revision,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,四族STOP：关1全不过（置换p 0.70/0.40/0.75/0.054，偏IC p 0.72/0.46/0.58/0.062），关0网格最优|IC| 0.30对空分布q95 0.49、p_selected 0.56；R4规模差贴线但同族形态符号分裂；覆盖度第九次确认。,backtest/output/consensus_axis_probe_verdicts.csv | backtest/output/consensus_axis_selection.json
futures-basis-term-structure,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,三族STOP：关1不过（置换p 0.11/0.11/0.33，偏IC p 0.12/0.12/0.56），关0网格最优|IC| 0.289对q95 0.317、p_selected 0.10；但T1/T2在16格几乎全为正、两半窗与2015-16/2017-26同号、净Sharpe 0.68，是弱而一致的正向纹理，功效不足而非形态矛盾；覆盖度第十次确认。,backtest/output/basis_term_probe_verdicts.csv | backtest/output/basis_term_selection.json
spread-short-reversal,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,反转形态存在（13/60三窗全正，代表slope L10 zw10 三窗0.43/0.67/0.45，与现役相关0.02）但worst_tv 0.43仅为现役1.26的三分之一、换手60/年、⓪校正后p 0.27（朴素0.019，膨胀14×）；不是分批建仓线要的快腿。,backtest/output/reversal_probe_A.csv | backtest/output/reversal_probe_verdict.json
index-short-trigger,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,27点净Sharpe全负（−0.46~−1.09，年化−7.6%~−18.4%），两半窗全负；随机时点做空的空分布中位−0.15，代表p_selected 0.99——触发式做空劣于随机做空；贴水墙均值9.2%/年。本规格的触发式指数做空无价值（2026-09-09复审：原句「A股短信号族无空头价值第六次确认」属标签泛化，已删——现役风格价差空头腿同秤含贴水Sharpe 0.67，09-09已部署）。,backtest/output/reversal_probe_B.csv | backtest/output/reversal_probe_verdict.json
new-high-participation,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,两族STOP：N1 16格IC全为−0.03~−0.08，N2≈0；关1不过（p 0.70/0.98，偏IC p 0.31/0.93）；关0网格最优0.237对q95 0.315、p_selected 0.25；覆盖度第十一次确认，广度轴第三次关帐。,backtest/output/new_high_axis_probe_verdicts.csv | backtest/output/new_high_axis_selection.json
money-flow-residual-axis,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,两族STOP。F2干脆不成立（IC 0.039/p 0.77/净年化−10.3%）。F1三关全过且对equal_weight有增量（IC 0.2599 p 0.002、偏IC 0.2779 p 0.003、两半窗0.344/0.263、净Sharpe 1.02）但关0未过（0.2599 vs 空分布q95 0.337、p 0.22）→按冻结规则PASS=False。事后诊断（不改判）：冻结口径是max-T，其q95与k=40单独口径float64严格相等——上5%尾部最大值100%由k=40变体产生（分层q95：k5 0.115/k10 0.163/k20 0.226/k40 0.337，非重叠窗口数542/270/134/66）。即max-T门槛由方差最大的变体类标定，代表在k=20要过k=40的线。机器本就同时提供Westfall-Young min-P这一尺度无关口径且文档已写明其适用场景，故失误在预登记未论证口径选择，不在方法论缺口。,data_fixes/2026-09-03-index-money-flow/README.md
basis-term-cross-section-replication,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,STOP（终局）：P1 IC −0.026、单侧p 0.568（双侧0.842），半窗−0.096/+0.209；P2 IC +0.119同号但p 0.281无功效。描述性：IF→blend IC +0.069、控现役偏IC +0.051（p 0.73）；IH→blend −0.157。原线IC/IM上0.195的正向纹理不是跨品种机制，更像网格+代表选择的残余膨胀与2015-16段贡献。,backtest/output/basis_term_replication_verdict.json | backtest/output/basis_term_replication_panel.csv
money-flow-cross-section-replication,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,STOP（终局）：科创腿→blend IC −0.163、单侧p 0.860、双侧0.251——未复现，与0统计上不可区分（n 61；2026-09-09复审：结果文档「镜像/反向」为过读，逐年IC三正两负）。两半窗−0.172/−0.094，控现役偏IC −0.133；科创腿→300/2000/全指 −0.29/−0.13/−0.23（均未检验显著性）。原线冻结F1信号→300/2000/全指仅+0.04~+0.09（n 122）。两板块残差流信号层相关仅0.29，原线+0.26未在科创板上复现。,backtest/output/money_flow_replication_verdict.json | backtest/output/money_flow_replication_panel.csv
gate0-reanalysis-2026-09-09,closed,descriptive,no_positive_final_verdict,registry screened; no numerical reanalysis,零翻转。V0 max-T与登记逐位一致（创新高/隐波差在评窗多一天）。最贴线=资金流F1：V1 max-T 0.059/min-P 0.071、V3 min-P 0.040，按规则不翻且横截面复制已STOP。min-P对多落在k=40的族代表普遍不比max-T松。更正：09-03在位者审计的min-P 0.013是网格赢家k=10的p，部署点k=20自己是0.155。,backtest/output/gate0_reanalysis_summary.csv | backtest/gate0_reanalysis.py
closed-conclusions-audit-2026-09-09,closed,descriptive,no_positive_final_verdict,registry screened; no numerical reanalysis,无一条GO/STOP裁决被推翻；错在四类：源头叙事（空头无价值链）、标签计数（第N次确认）、过读（镜像）、证据溯源（指错文件/未重跑）。判定：成立27、措辞过宽9、证据过期9、疑似错误4、无法核实2。修复后重跑三条：C1贴线（p 0.090）是carry bug伪影（重跑p 0.605），广度线STOP不变但07-11方向论证反了。,backtest/output/short_leg_audit.json | backtest/output/long_axes_probe_verdicts.csv | backtest/output/breadth_divergence_metrics.csv
pair-weighting-scoping,research_only,descriptive,no_positive_final_verdict,registry screened; no numerical reanalysis,等权（1.50）在全部替代里排第一，单对0.82~1.29、去任一对1.15~1.28、中位数1.40、多数票1.43、逆波动1.41、固定倾斜1.33~1.35；仅holdout单窗上多数票/去300对高0.1，换窗即反转。四对相关0.6~0.8、单腿质量相近，等权≈最小方差解；静态重加权无空间。,output/equal_weight/equal_weight_signal_20d40z.csv
pair-weighting-grid,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,"STOP：赢家(0,0,½,½) Δ|IC| 0.043、min-P p 0.336/max-T 0.373，零分布max Δ中位数0.036/q95 0.083——赢家量级即噪声量级；收益层赢家worst_tv 1.11<等权1.26、holdout 1.18<1.51。等权按|IC|排36/65但收益轴第一。静态权重维度关闭，多重平均降噪第12个实测点。",backtest/output/pair_weighting_verdict.json | backtest/output/pair_weighting_panel.csv
gateway-provenance-gap,open,pending,no_positive_final_verdict,registry screened; no numerical reanalysis,（2026-09-09复审：①②已于09-04完成——现网端点已回收入stock_selector master并调和，剩③etf_option是否部署④按tag部署待裁）原记录：双向不一致。现网跑着 /fetch/bonus 与 /fetch/futures 两个端点，源码在 master 的 wind_gateway/ 里完全不存在——是直接改现网文件加的，唯一副本在那台 Windows 机上且无版本控制。反向：master 有三个 etf_option 端点从未部署。另 /fetch/market_money_flow 在分支 feat/index-money-flow 上（基于旧 master cb475ed7，master 已到 b2d479e3），已部署。风险：任何人从 master 重新部署网关，那两个端点就消失，其中 /fetch/futures 正是 08-25 carry 线卡了很久才补上的。,
gate0-criterion-max-t-vs-min-p,closed,descriptive,no_positive_final_verdict,registry screened; no numerical reanalysis,09-14推翻原真实误报率已校准的论证：池内排位对确定性矩阵也得5%。独立400样本/场景中受限移位min-P在平稳/共同波动/状态变化下误报率5.50%/15.75%/16.00%；完整循环群在非平稳场景仍失准。撤回无条件默认min-P的依据，新预登记先验证重抽样假设，再论证校正口径。,backtest/gate0_criterion_study.py | backtest/output/runs/20260914-statistics-r1/outputs/calibration_summary.csv
gate0r-data-foundation,closed,pass,replication_acceptance,deployment or foundation source checked,当前锚和完整生产库重验pass=true，底座可供后续冻结研究使用。,backtest/output/runs/20260826T183948-p0-revalidation-ac11b3c/manifest.json
carry-mode,research_only,descriptive,no_positive_final_verdict,registry screened; no numerical reanalysis,只用于理解承载差异，不形成独立GO/STOP候选。,docs/plans/2026-08-24-carry-carrying-mode-descriptive.md
equal-weight-5d20z,research_only,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,不作为生产候选，本阶段不改变其日更链位置。,backtest/output/baseline_metrics.csv
research-followthrough-2026-09-14,research_only,descriptive,no_positive_final_verdict,registry screened; no numerical reanalysis,真实合约次日收盘、两池独立复利Sharpe1.413/回撤−29.61%；半空头1.517/−18.78%但年化30.75%降27.10%，全期差异不显著。原统计校准保证被独立模拟推翻；五个固定候选无替换依据；新数据面优先核对资金流开尾盘字段。,backtest/output/runs/20260914-execution-audit-r2/manifest.json | backtest/output/runs/20260914-statistics-r1/manifest.json | backtest/output/runs/20260914-risk-allocation-r1/manifest.json | backtest/output/runs/20260914-fixed-candidates-r1/manifest.json | backtest/output/runs/20260914-new-input-inventory-r2/manifest.json | backtest/output/runs/20260914-audit-corrections-r1/manifest.json
